clistingid,iwebsiteid,csku,istatus,dnewformdate,dnewtodate,bspecial,cvideoaddress,iqty,fprice,fweight,bmultiattribute,cparentsku,bclearstocks,bfeatured,bnew,bhot,bvisible,bpulish,ccreateuser,dcreatedate
96a9fe9c-d8c9-1004-8a97-438cca05a146,1,F983B,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,13.49,200,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96aae8fc-d8c9-1004-8a97-438cca05a146,1,F980B,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,34.73,1580,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96abd35c-d8c9-1004-8a97-438cca05a146,1,F899,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,34.74,400,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96ac96ac-d8c9-1004-8a97-438cca05a146,1,F154R,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,23.8019,350,f,null,t,null,f,null,t,t,null,2014-12-03 00:00:00
96ada81c-d8c9-1004-8a97-438cca05a146,1,F923B,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,102.555,1900,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96ae6b6c-d8c9-1004-8a97-438cca05a146,1,F205,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,9.74,400,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96af2ebc-d8c9-1004-8a97-438cca05a146,1,F153,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,8.62,100,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96aff20c-d8c9-1004-8a97-438cca05a146,1,F154,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,23.8019,350,f,null,t,null,f,null,t,t,null,2014-12-03 00:00:00
96b1037c-d8c9-1004-8a97-438cca05a146,1,F137,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,12.66,200,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96b1c730-d8c9-1004-8a97-438cca05a146,1,F134,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,5.751,100,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96b28a80-d8c9-1004-8a97-438cca05a146,1,F138,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,6.49,100,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96b374e0-d8c9-1004-8a97-438cca05a146,1,F139,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,25.64,489,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96b48650-d8c9-1004-8a97-438cca05a146,1,GAME097,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,13.05,180,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96b5bed0-d8c9-1004-8a97-438cca05a146,1,GAME075,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,4.5,120,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96b6a930-d8c9-1004-8a97-438cca05a146,1,GAME072,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,54.15,2000,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96b76c80-d8c9-1004-8a97-438cca05a146,1,GAME060,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,11.88,50,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96b82fd0-d8c9-1004-8a97-438cca05a146,1,GAME044,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,11.45,80,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96b91a30-d8c9-1004-8a97-438cca05a146,1,Game027,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,6.47,50,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96b9dd80-d8c9-1004-8a97-438cca05a146,1,GAME007,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,8.397,300,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96baa0d0-d8c9-1004-8a97-438cca05a146,1,KH001,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,4.545,110,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96bb8b30-d8c9-1004-8a97-438cca05a146,1,SCPH-10020,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,8.15,130,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96bc4ee4-d8c9-1004-8a97-438cca05a146,1,F107B,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,4.03,139,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96bd3944-d8c9-1004-8a97-438cca05a146,1,F1258,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,92.133,430,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96be4ab4-d8c9-1004-8a97-438cca05a146,1,F894B,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,65.9016,155,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96bf5c24-d8c9-1004-8a97-438cca05a146,1,F1212W,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,12.663,222,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96c04684-d8c9-1004-8a97-438cca05a146,1,F1210GY,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,5.247,95,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96c109d4-d8c9-1004-8a97-438cca05a146,1,F1210B,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,6.174,95,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96c1cd24-d8c9-1004-8a97-438cca05a146,1,F1209W,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,44.406,256,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96c29074-d8c9-1004-8a97-438cca05a146,1,F1204,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,6.183,150,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96c353c4-d8c9-1004-8a97-438cca05a146,1,F1202,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,60.399,340,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96c41714-d8c9-1004-8a97-438cca05a146,1,F1201C,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,17.6,160,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96c50174-d8c9-1004-8a97-438cca05a146,1,F1201W,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,10.332,136,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96c59db4-d8c9-1004-8a97-438cca05a146,1,F1201B,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,10.341,139,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96c68814-d8c9-1004-8a97-438cca05a146,1,F1173B,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,9.513,350,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96c74b64-d8c9-1004-8a97-438cca05a146,1,F916,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,44.064,340,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96c80f18-d8c9-1004-8a97-438cca05a146,1,F1162W,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,33.417,280,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96c8f978-d8c9-1004-8a97-438cca05a146,1,F946B,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,30.492,406,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96c9bcc8-d8c9-1004-8a97-438cca05a146,1,F894,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,70.2,155,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96cace38-d8c9-1004-8a97-438cca05a146,1,F1140W,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,15.723,505,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96cbb898-d8c9-1004-8a97-438cca05a146,1,F946WT2,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,41.292,550,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96cc7be8-d8c9-1004-8a97-438cca05a146,1,F946WT1,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,32.256,400,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96cd3f38-d8c9-1004-8a97-438cca05a146,1,F106,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,8.46,280,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96ce0288-d8c9-1004-8a97-438cca05a146,1,F125,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,5.787,105,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96ceece8-d8c9-1004-8a97-438cca05a146,1,F918,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,5.04,120,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96cffe58-d8c9-1004-8a97-438cca05a146,1,F1030Y,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,2.4179,35,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96d0c1a8-d8c9-1004-8a97-438cca05a146,1,F1030W,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,3.28,35,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96d184f8-d8c9-1004-8a97-438cca05a146,1,F1030RP,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,2.92,35,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96d26f58-d8c9-1004-8a97-438cca05a146,1,F1030GY,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,3.28,35,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96d332a8-d8c9-1004-8a97-438cca05a146,1,F1030GR,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,3.28,50,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96d3f5f8-d8c9-1004-8a97-438cca05a146,1,F1030BL,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,3.28,50,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96d4e0bc-d8c9-1004-8a97-438cca05a146,1,F1030B,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,2.67,50,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96d5a40c-d8c9-1004-8a97-438cca05a146,1,F1023W,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,11.07,215,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96d6675c-d8c9-1004-8a97-438cca05a146,1,F1022WUS,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,10.404,206,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96d72aac-d8c9-1004-8a97-438cca05a146,1,F946W,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,30.4896,406,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96d83c1c-d8c9-1004-8a97-438cca05a146,1,F893W,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,6.24,283,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96d9267c-d8c9-1004-8a97-438cca05a146,1,F891,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,3.771,250,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96d9e9cc-d8c9-1004-8a97-438cca05a146,1,F877B,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,8.09,150,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96daad1c-d8c9-1004-8a97-438cca05a146,1,F203,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,4.761,160,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96db706c-d8c9-1004-8a97-438cca05a146,1,F196,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,8.703,286,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96dc81dc-d8c9-1004-8a97-438cca05a146,1,F147,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,12.67,220,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96dd1e1c-d8c9-1004-8a97-438cca05a146,1,F145,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,8.919,235,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96dde16c-d8c9-1004-8a97-438cca05a146,1,F128,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,7.101,240,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96def2dc-d8c9-1004-8a97-438cca05a146,1,F127,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,30.015,406,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96dfb62c-d8c9-1004-8a97-438cca05a146,1,F129,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,6.51,520,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96e0a0f0-d8c9-1004-8a97-438cca05a146,1,F140,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,4.428,200,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96e16440-d8c9-1004-8a97-438cca05a146,1,F107,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,3.915,139,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96e22790-d8c9-1004-8a97-438cca05a146,1,F66,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,36.522,334,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96e2eae0-d8c9-1004-8a97-438cca05a146,1,F7,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,9.954,207,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96e3ae30-d8c9-1004-8a97-438cca05a146,1,F1223,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,8.514,100,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96e49890-d8c9-1004-8a97-438cca05a146,1,F1255BLB,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,14.445,400,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96e55be0-d8c9-1004-8a97-438cca05a146,1,F1237RP,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,2.42,50,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96e64640-d8c9-1004-8a97-438cca05a146,1,F1237OR,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,2.42,50,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96e70990-d8c9-1004-8a97-438cca05a146,1,F1237GR,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,2.178,50,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96e7cce0-d8c9-1004-8a97-438cca05a146,1,F1237BL,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,2.42,50,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96e89030-d8c9-1004-8a97-438cca05a146,1,F1237B,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,2.178,50,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96e95380-d8c9-1004-8a97-438cca05a146,1,F953,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,20.556,110,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96ea1734-d8c9-1004-8a97-438cca05a146,1,F1254,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,18.216,400,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96eada84-d8c9-1004-8a97-438cca05a146,1,F1248B,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,17.55,100,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96ebc4e4-d8c9-1004-8a97-438cca05a146,1,F1246B,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,8.19,241,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96ec8834-d8c9-1004-8a97-438cca05a146,1,F925B,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,7.155,260,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96ed4b84-d8c9-1004-8a97-438cca05a146,1,F1241RP,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,1.935,20,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96ee8404-d8c9-1004-8a97-438cca05a146,1,F1240RP,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,22.73,190,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96ef6e64-d8c9-1004-8a97-438cca05a146,1,F1211W,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,9.52,220.01,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96f0cdf4-d8c9-1004-8a97-438cca05a146,1,F1208W,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,1.9319,20,f,null,t,null,f,null,t,t,null,2014-12-03 00:00:00
96f22d84-d8c9-1004-8a97-438cca05a146,1,F1208RP,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,2.205,20,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96f2f138-d8c9-1004-8a97-438cca05a146,1,F1208R,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,1.935,20,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96f3b488-d8c9-1004-8a97-438cca05a146,1,F1208BL,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,1.935,20,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96f477d8-d8c9-1004-8a97-438cca05a146,1,F1208B,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,1.935,20,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96f56238-d8c9-1004-8a97-438cca05a146,1,F881B,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,5.64,100,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96f64c98-d8c9-1004-8a97-438cca05a146,1,GAME032B,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,10.525,160,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96f70fe8-d8c9-1004-8a97-438cca05a146,1,F1021R,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,16.605,280,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96f848cc-d8c9-1004-8a97-438cca05a146,1,F1021B,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,17.091,280,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96f90c1c-d8c9-1004-8a97-438cca05a146,1,F1129,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,14.76,455,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96fa1d8c-d8c9-1004-8a97-438cca05a146,1,F1128,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,14.36,516,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96fae0dc-d8c9-1004-8a97-438cca05a146,1,F1127,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,12.141,400,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96fba42c-d8c9-1004-8a97-438cca05a146,1,F1126,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,6.66,240,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96fc677c-d8c9-1004-8a97-438cca05a146,1,F947,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,4.491,180,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96fd51dc-d8c9-1004-8a97-438cca05a146,1,F866W,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,7.56,140,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96fe152c-d8c9-1004-8a97-438cca05a146,1,F952,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,55.8779,1500,f,null,t,null,f,null,t,t,null,2014-12-03 00:00:00
96fefff0-d8c9-1004-8a97-438cca05a146,1,F926W,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,18.639,230,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96ffea50-d8c9-1004-8a97-438cca05a146,1,F925W,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,8.2,260,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
97011074-d8c9-1004-8a97-438cca05a146,1,F924W,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,54.3227,1500,f,null,t,null,f,null,t,t,null,2014-12-03 00:00:00
9701eb34-d8c9-1004-8a97-438cca05a146,1,F1074,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,13.491,324,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
97029584-d8c9-1004-8a97-438cca05a146,1,F1034US,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,9.8,330,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
97037fe4-d8c9-1004-8a97-438cca05a146,1,F1034UK,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,17.568,330,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
97045c34-d8c9-1004-8a97-438cca05a146,1,F1034EU,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,9.56,330,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
97050814-d8c9-1004-8a97-438cca05a146,1,F1033,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,11.6883,113,f,null,t,null,f,null,t,t,null,2014-12-03 00:00:00
9705b3f4-d8c9-1004-8a97-438cca05a146,1,F998,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,19.4,576,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
97065fd4-d8c9-1004-8a97-438cca05a146,1,F1021W,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,31.149,280,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
970748a4-d8c9-1004-8a97-438cca05a146,1,F979W,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,2.421,10,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
97083304-d8c9-1004-8a97-438cca05a146,1,F978,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,19.85,500,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
9708f654-d8c9-1004-8a97-438cca05a146,1,F976,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,23.46,500,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
9709e17c-d8c9-1004-8a97-438cca05a146,1,F974,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,24.291,370,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
970aa4cc-d8c9-1004-8a97-438cca05a146,1,F951,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,14.013,520,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
970b681c-d8c9-1004-8a97-438cca05a146,1,F950,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,38.8679,820,f,null,t,null,f,null,t,t,null,2014-12-03 00:00:00
970c2b6c-d8c9-1004-8a97-438cca05a146,1,F955,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,11.9435,330,f,null,t,null,f,null,t,t,null,2014-12-03 00:00:00
970ceebc-d8c9-1004-8a97-438cca05a146,1,F954,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,5.97,205,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
970db20c-d8c9-1004-8a97-438cca05a146,1,F912W,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,8.97,280.01,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
970e7a0c-d8c9-1004-8a97-438cca05a146,1,F911W,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,10.79,358,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
970f8e38-d8c9-1004-8a97-438cca05a146,1,F910W,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,12.141,360,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
9710537c-d8c9-1004-8a97-438cca05a146,1,F909B,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,25.2234,650,f,null,t,null,f,null,t,t,null,2014-12-03 00:00:00
971118c0-d8c9-1004-8a97-438cca05a146,1,F905,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,4.014,102,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
9711b62c-d8c9-1004-8a97-438cca05a146,1,F896,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,11.43,360.01,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
9712a08c-d8c9-1004-8a97-438cca05a146,1,F890W,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,5.23,150,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
97136314-d8c9-1004-8a97-438cca05a146,1,F889,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,1.728,65,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
97144b1c-d8c9-1004-8a97-438cca05a146,1,F888,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,3.951,100,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
97150c78-d8c9-1004-8a97-438cca05a146,1,F881W,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,13.176,83,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
9715a728-d8c9-1004-8a97-438cca05a146,1,F879,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,21.86,500,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
9716b640-d8c9-1004-8a97-438cca05a146,1,F875GY,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,5.877,200,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
9717a230-d8c9-1004-8a97-438cca05a146,1,F873W,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,12.86,150,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
97188c90-d8c9-1004-8a97-438cca05a146,1,F102,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,21.735,685,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
97194fe0-d8c9-1004-8a97-438cca05a146,1,F865W,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,8.64,260,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
971a3a40-d8c9-1004-8a97-438cca05a146,1,F860W,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,7.24,150,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
971afd90-d8c9-1004-8a97-438cca05a146,1,F857-Q,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,19.4279,450,f,null,t,null,f,null,t,t,null,2014-12-03 00:00:00
