iid,iwebsiteid,icategoryid,iparentid,cpath,ilevel,bshow,bhasbgimage
1617,1,1617,1607,Car-Accessories/Car-Transmission-Drivetrain/Torque-Converters,3,f,t
1619,1,1619,1607,Car-Accessories/Car-Transmission-Drivetrain/Universal-Joints-Driveshafts,3,f,t
1589,1,1589,1569,Car-Accessories/Car-Interior/Window-Motors-Parts,3,f,t
1587,1,1587,1569,Car-Accessories/Car-Interior/Trim,3,f,t
1571,1,1571,1569,Car-Accessories/Car-Interior/Consoles-Parts,3,t,t
1575,1,1575,1569,Car-Accessories/Car-Interior/Glove-Boxes,3,f,t
1579,1,1579,1569,Car-Accessories/Car-Interior/Pedals-Pads,3,f,t
1577,1,1577,1569,Car-Accessories/Car-Interior/Interior-Door-Panels-Parts,3,f,t
1581,1,1581,1569,Car-Accessories/Car-Interior/Seat-Belt-Shoulder-Pads,3,t,t
1573,1,1573,1569,Car-Accessories/Car-Interior/Dash-Parts,3,f,t
1583,1,1583,1569,Car-Accessories/Car-Interior/Shift-Knobs-Boots,3,t,t
1585,1,1585,1569,Car-Accessories/Car-Interior/Sun-Visors,3,t,t
1549,1,1549,1539,Car-Accessories/Car-Gauges/Tachometers,3,t,t
1017,1,1017,1016,Apparel-Jewelry/Jewelry-Design-Repair/DIY-Jewelry,3,f,t
989,1,989,983,Apparel-Jewelry/Watches/Water-Resistant-Watches,3,f,t
1004,1,1004,999,Apparel-Jewelry/Fashion-Jewelry/Jewelry-Sets,3,f,t
1566,1,1566,1560,Car-Accessories/Car-Ignition-System/Key-Blanks,3,f,t
1646,1,1646,1638,Car-Accessories/Car-Electronics-GPS/Car-Video,3,t,t
1624,1,1624,1621,Car-Accessories/Car-Turbos-Nitrous-Superchargers-/Turbo-Chargers-Parts,3,t,t
1592,1,1592,1591,Car-Accessories/Car-Suspension-Steering/Ball-Joints,3,f,t
1594,1,1594,1591,Car-Accessories/Car-Suspension-Steering/Coil-Springs,3,f,t
1596,1,1596,1591,Car-Accessories/Car-Suspension-Steering/Leaf-Springs,3,f,t
1600,1,1600,1591,Car-Accessories/Car-Suspension-Steering/Power-Steering-Pumps-Parts,3,f,t
1622,1,1622,1621,Car-Accessories/Car-Turbos-Nitrous-Superchargers-/Nitrous-Parts,3,f,t
1604,1,1604,1591,Car-Accessories/Car-Suspension-Steering/Sway-Bars,3,f,t
1602,1,1602,1591,Car-Accessories/Car-Suspension-Steering/Shocks-Struts,3,f,t
1606,1,1606,1591,Car-Accessories/Car-Suspension-Steering/Other,3,f,t
1608,1,1608,1607,Car-Accessories/Car-Transmission-Drivetrain/Automatic-Transmission-Parts,3,f,t
1610,1,1610,1607,Car-Accessories/Car-Transmission-Drivetrain/CV-PartsCV,3,f,t
1612,1,1612,1607,Car-Accessories/Car-Transmission-Drivetrain/Differentials-Parts,3,f,t
1614,1,1614,1607,Car-Accessories/Car-Transmission-Drivetrain/Manual-Transmission-Parts,3,f,t
1616,1,1616,1607,Car-Accessories/Car-Transmission-Drivetrain/Shifters,3,f,t
1618,1,1618,1607,Car-Accessories/Car-Transmission-Drivetrain/Transmission-Rebuild-Kits,3,f,t
1620,1,1620,1607,Car-Accessories/Car-Transmission-Drivetrain/Other,3,f,t
1590,1,1590,1569,Car-Accessories/Car-Interior/Other,3,f,t
1588,1,1588,1569,Car-Accessories/Car-Interior/Window-Cranks-Parts,3,f,t
1572,1,1572,1569,Car-Accessories/Car-Interior/Cup-Holders,3,f,t
1576,1,1576,1569,Car-Accessories/Car-Interior/Interior-Door-Handles,3,f,t
1578,1,1578,1569,Car-Accessories/Car-Interior/Mirrors,3,f,t
1580,1,1580,1569,Car-Accessories/Car-Interior/Seats,3,f,t
1626,1,1626,1625,Car-Accessories/Car-Wheels-Tires-Parts-/Hub-Caps,3,f,t
1582,1,1582,1569,Car-Accessories/Car-Interior/Seat-Covers,3,t,t
1574,1,1574,1569,Car-Accessories/Car-Interior/Floor-Mats-Carpets,3,f,t
1586,1,1586,1569,Car-Accessories/Car-Interior/Switches-Controls,3,t,t
1570,1,1570,1569,Car-Accessories/Car-Interior/Cargo-Nets-Trays-Liners-,3,t,t
1634,1,1634,1625,Car-Accessories/Car-Wheels-Tires-Parts-/Wheel-Center-Caps,3,f,t
1630,1,1630,1625,Car-Accessories/Car-Wheels-Tires-Parts-/Tire-ChainsTire-Chains,3,f,t
1631,1,1631,1625,Car-Accessories/Car-Wheels-Tires-Parts-/Valve-Stems-Caps,3,t,t
1632,1,1632,1625,Car-Accessories/Car-Wheels-Tires-Parts-/Wheels,3,f,t
1629,1,1629,1625,Car-Accessories/Car-Wheels-Tires-Parts-/Tire-Accessories,3,t,t
1635,1,1635,1625,Car-Accessories/Car-Wheels-Tires-Parts-/Wheel-Lugs,3,f,t
1636,1,1636,1625,Car-Accessories/Car-Wheels-Tires-Parts-/Wheel-Hubs-Bearings,3,f,t
1637,1,1637,1625,Car-Accessories/Car-Wheels-Tires-Parts-/Other,3,f,t
1639,1,1639,1638,Car-Accessories/Car-Electronics-GPS/12-Volt-Portable-Appliances,3,t,t
1640,1,1640,1638,Car-Accessories/Car-Electronics-GPS/Amplifiers,3,f,t
1641,1,1641,1638,Car-Accessories/Car-Electronics-GPS/Car-A-V-Installation-Parts,3,t,t
1568,1,1568,1560,Car-Accessories/Car-Ignition-System/Other,3,f,t
1643,1,1643,1638,Car-Accessories/Car-Electronics-GPS/Car-Speakers-Systems,3,f,t
1644,1,1644,1638,Car-Accessories/Car-Electronics-GPS/Car-Stereo,3,f,t
1645,1,1645,1638,Car-Accessories/Car-Electronics-GPS/Car-Subwoofers-Enclosures,3,f,t
1652,1,1652,1638,Car-Accessories/Car-Electronics-GPS/Other-Car-Audio,3,f,t
1648,1,1648,1638,Car-Accessories/Car-Electronics-GPS/GPS-Accessories-Mounts,3,t,t
1650,1,1650,1638,Car-Accessories/Car-Electronics-GPS/Marine-Audio,3,f,t
1670,1,1670,1668,Car-Accessories/Motorcycle-Parts/Accessories,3,t,t
1642,1,1642,1638,Car-Accessories/Car-Electronics-GPS/Car-Security-Alarms,3,t,t
1654,1,1654,1653,Car-Accessories/Automotive-Tools-Suppliesl/Diagnostic-Tools,3,t,t
1656,1,1656,1653,Car-Accessories/Automotive-Tools-Suppliesl/Shop-Equipment,3,f,t
1658,1,1658,1653,Car-Accessories/Automotive-Tools-Suppliesl/Air-Tools,3,t,t
1660,1,1660,1653,Car-Accessories/Automotive-Tools-Suppliesl/Power-Tools,3,t,t
1662,1,1662,1653,Car-Accessories/Automotive-Tools-Suppliesl/Tool-Boxes-Storage,3,f,t
1664,1,1664,1653,Car-Accessories/Automotive-Tools-Suppliesl/Fluids-Chemicals,3,f,t
1666,1,1666,1653,Car-Accessories/Automotive-Tools-Suppliesl/Safety-Kits-Supplies,3,f,t
1672,1,1672,1668,Car-Accessories/Motorcycle-Parts/Brakes-Suspension,3,f,t
1674,1,1674,1668,Car-Accessories/Motorcycle-Parts/Drivetrain-Transmission,3,t,t
1676,1,1676,1668,Car-Accessories/Motorcycle-Parts/Engines-Engine-Parts,3,f,t
1678,1,1678,1668,Car-Accessories/Motorcycle-Parts/Exhausts-Exhaust-Systems,3,f,t
1628,1,1628,1625,Car-Accessories/Car-Wheels-Tires-Parts-/Tires,3,f,t
1633,1,1633,1625,Car-Accessories/Car-Wheels-Tires-Parts-/Wheel-Tire-Packages,3,f,t
1704,1,1704,1699,Car-Accessories/RV-Trailer-Camper-Parts/Towing-Systems,3,f,t
1741,1,1741,1727,Car-Accessories/ATV-Parts/Other,3,f,t
1694,1,1694,1691,Car-Accessories/Other-Vehicle-Parts/Go-Kart-Accessories,3,f,t
1691,1,1691,1362,Car-Accessories/Other-Vehicle-Parts,2,f,t
1699,1,1699,1362,Car-Accessories/RV-Trailer-Camper-Parts,2,f,t
1706,1,1706,1362,Car-Accessories/Boat-Parts,2,f,t
1742,1,1742,1362,Car-Accessories/Performance-Racing-Parts,2,f,t
1651,1,1651,1638,Car-Accessories/Car-Electronics-GPS/Radar-Detectors,3,t,t
1655,1,1655,1653,Car-Accessories/Automotive-Tools-Suppliesl/Hand-Tools,3,t,t
1659,1,1659,1653,Car-Accessories/Automotive-Tools-Suppliesl/Paints-Supplies,3,f,t
1657,1,1657,1653,Car-Accessories/Automotive-Tools-Suppliesl/Auto-Repair-Kits,3,f,t
1661,1,1661,1653,Car-Accessories/Automotive-Tools-Suppliesl/Auto-Care-Detailing,3,t,t
1663,1,1663,1653,Car-Accessories/Automotive-Tools-Suppliesl/Air-Compressors,3,f,t
1665,1,1665,1653,Car-Accessories/Automotive-Tools-Suppliesl/Battery-Chargers,3,f,t
1673,1,1673,1668,Car-Accessories/Motorcycle-Parts/Decals-Emblems,3,f,t
1749,1,1749,1742,Car-Accessories/Performance-Racing-Parts/Kart-Racing-Parts,3,f,t
1675,1,1675,1668,Car-Accessories/Motorcycle-Parts/Electrical-Ignition,3,t,t
1677,1,1677,1668,Car-Accessories/Motorcycle-Parts/Engine-Cooling,3,f,t
1679,1,1679,1668,Car-Accessories/Motorcycle-Parts/Instruments-Gauges,3,f,t
1680,1,1680,1668,Car-Accessories/Motorcycle-Parts/Boots,3,f,t
1685,1,1685,1668,Car-Accessories/Motorcycle-Parts/Lighting-Indicators,3,t,t
1684,1,1684,1668,Car-Accessories/Motorcycle-Parts/Helmets,3,t,t
1690,1,1690,1668,Car-Accessories/Motorcycle-Parts/Other-Motorcycle-Parts,3,t,t
1687,1,1687,1668,Car-Accessories/Motorcycle-Parts/Parts-Bikes,3,f,t
1689,1,1689,1668,Car-Accessories/Motorcycle-Parts/Antique-Vintage-Historic,3,f,t
1669,1,1669,1668,Car-Accessories/Motorcycle-Parts/Air-Intake-Fuel-Delivery,3,t,t
1688,1,1688,1668,Car-Accessories/Motorcycle-Parts/Wheels-Tires-Tubes,3,f,t
1692,1,1692,1691,Car-Accessories/Other-Vehicle-Parts/Motorcycle-Parts-Test-Category,3,f,t
1696,1,1696,1691,Car-Accessories/Other-Vehicle-Parts/Golf-Car-Parts-Accessories,3,t,t
1671,1,1671,1668,Car-Accessories/Motorcycle-Parts/Body-Frame,3,t,t
1695,1,1695,1691,Car-Accessories/Other-Vehicle-Parts/Go-Kart-Parts,3,f,t
1725,1,1725,1706,Car-Accessories/Boat-Parts/Trolling-Motors-Components,3,f,t
1701,1,1701,1699,Car-Accessories/RV-Trailer-Camper-Parts/Exterior,3,f,t
1702,1,1702,1699,Car-Accessories/RV-Trailer-Camper-Parts/Interior,3,f,t
1703,1,1703,1699,Car-Accessories/RV-Trailer-Camper-Parts/Tires-Wheels,3,f,t
1700,1,1700,1699,Car-Accessories/RV-Trailer-Camper-Parts/Engines-Components,3,f,t
1723,1,1723,1706,Car-Accessories/Boat-Parts/Sterndrive-Motors-Components,3,f,t
1753,1,1753,1742,Car-Accessories/Performance-Racing-Parts/Other,3,f,t
1729,1,1729,1727,Car-Accessories/ATV-Parts/ATVs-for-Parts,3,f,t
1731,1,1731,1727,Car-Accessories/ATV-Parts/Brakes-Suspension,3,f,t
1735,1,1735,1727,Car-Accessories/ATV-Parts/Exhaust,3,f,t
1739,1,1739,1727,Car-Accessories/ATV-Parts/Wheels-Tires,3,f,t
1745,1,1745,1742,Car-Accessories/Performance-Racing-Parts/Auto-Performance-Parts,3,t,t
1747,1,1747,1742,Car-Accessories/Performance-Racing-Parts/Drag-Racing-Parts,3,f,t
1707,1,1707,1706,Car-Accessories/Boat-Parts/Accessories-Gear,3,t,t
1743,1,1743,1742,Car-Accessories/Performance-Racing-Parts/Accessories,3,f,t
1751,1,1751,1742,Car-Accessories/Performance-Racing-Parts/Racing-Equipment,3,f,t
1709,1,1709,1706,Car-Accessories/Boat-Parts/Body-Parts,3,f,t
1711,1,1711,1706,Car-Accessories/Boat-Parts/Deck-Cabin-Hardware,3,f,t
1713,1,1713,1706,Car-Accessories/Boat-Parts/Electronics-Navigation,3,f,t
1715,1,1715,1706,Car-Accessories/Boat-Parts/Interior-Cabin-Galley,3,f,t
1719,1,1719,1706,Car-Accessories/Boat-Parts/Plumbing-Ventilation,3,t,t
1721,1,1721,1706,Car-Accessories/Boat-Parts/Sailing-Hardware-Gear,3,f,t
1717,1,1717,1706,Car-Accessories/Boat-Parts/Memorabilia,3,f,t
1693,1,1693,1691,Car-Accessories/Other-Vehicle-Parts/Commercial-Truck-Parts,3,f,t
1647,1,1647,1638,Car-Accessories/Car-Electronics-GPS/Car-Audio-Video-Installation,3,t,t
1681,1,1681,1668,Car-Accessories/Motorcycle-Parts/Eye-Wear,3,t,t
1682,1,1682,1668,Car-Accessories/Motorcycle-Parts/Gloves,3,f,t
1683,1,1683,1668,Car-Accessories/Motorcycle-Parts/Hats-Caps,3,f,t
1686,1,1686,1668,Car-Accessories/Motorcycle-Parts/Luggage-Saddlebags,3,f,t
1737,1,1737,1727,Car-Accessories/ATV-Parts/Lighting,3,f,t
1733,1,1733,1727,Car-Accessories/ATV-Parts/Electrical-Components,3,f,t
117,1,117,115,Sports-Outdoor/Sports-Body-Building-/Physical-Fitness,3,f,t
161,1,161,160,Test-Equipment-Tools/UNI-T/Digital-Multimeters,3,t,t
922,1,922,917,Apparel-Jewelry/Girls-Clothing/Tops-Tees,3,f,t
1744,1,1744,1742,Car-Accessories/Performance-Racing-Parts/Asphalt-Oval-Racing-Parts,3,f,t
920,1,920,917,Apparel-Jewelry/Girls-Clothing/Accessories,3,f,t
65,1,65,64,Sports-Outdoor/Cycling/Bicycle-Lights,3,t,t
1061,1,1061,1054,Home-and-Garden/Home-living/Pest-Control,3,t,t
103,1,103,98,Sports-Outdoor/Camping-Hiking/Tents,3,t,t
119,1,119,115,Sports-Outdoor/Sports-Body-Building-/Boxing,3,f,t
1063,1,1063,1054,Home-and-Garden/Home-living/Cups-kettle,3,t,t
105,1,105,98,Sports-Outdoor/Camping-Hiking/Backpacks,3,t,t
66,1,66,64,Sports-Outdoor/Cycling/Bike-Accessories,3,t,t
1752,1,1752,1742,Car-Accessories/Performance-Racing-Parts/Safety-Equipment,3,f,t
1059,1,1059,1054,Home-and-Garden/Home-living/Housekeeping-Gadgets,3,f,t
107,1,107,98,Sports-Outdoor/Camping-Hiking/Outdoor-Appliances,3,t,t
57,1,57,53,Tablet-PC-Cellphone/Tablet-PC-Accessories/Tablet-PC-Cables,3,f,t
121,1,121,115,Sports-Outdoor/Sports-Body-Building-/Others,3,f,t
44,1,44,35,Tablet-PC-Cellphone/Accessories-for-Cell-Phones/Vehicle-Mounted-Accessories,3,t,t
45,1,45,35,Tablet-PC-Cellphone/Accessories-for-Cell-Phones/Apple-Accessories,3,t,t
58,1,58,53,Tablet-PC-Cellphone/Tablet-PC-Accessories/Tablet-PC-Holders,3,t,t
389,1,389,382,Lighting-Flashlights-LEDs/Flashlights/Other-Flashlights,3,t,t
1049,1,1049,1048,Home-and-Garden/Pet-Supplies/Dog-Clothing,3,t,t
1748,1,1748,1742,Car-Accessories/Performance-Racing-Parts/Fasteners-Fluids-Gaskets,3,f,t
924,1,924,917,Apparel-Jewelry/Girls-Clothing/Skirts,3,f,t
68,1,68,64,Sports-Outdoor/Cycling/Fixed-Gear-Bikes,3,t,t
1065,1,1065,1064,Home-and-Garden/Kitchen-Dining-bar/Bakeware,3,t,t
926,1,926,917,Apparel-Jewelry/Girls-Clothing/Blouses-Shirts,3,f,t
1067,1,1067,1064,Home-and-Garden/Kitchen-Dining-bar/Cooking-Tools,3,t,t
908,1,908,901,Apparel-Jewelry/Baby-Girls-Clothing/Outerwear-Coats,3,f,t
1008,1,1008,999,Apparel-Jewelry/Fashion-Jewelry/Charms,3,f,t
928,1,928,917,Apparel-Jewelry/Girls-Clothing/Sweaters,3,f,t
910,1,910,901,Apparel-Jewelry/Baby-Girls-Clothing/Shorts,3,f,t
69,1,69,64,Sports-Outdoor/Cycling/Bike-Tools,3,t,t
945,1,945,935,Apparel-Jewelry/Boys-Clothing/Sweaters,3,f,t
109,1,109,98,Sports-Outdoor/Camping-Hiking/Camping-Mats,3,t,t
1248,1,1248,1240,Toys-Games/Classic-Toys/Kaleidoscope,3,f,t
113,1,113,111,Sports-Outdoor/Hunting/Hungting-Tools,3,f,t
1750,1,1750,1742,Car-Accessories/Performance-Racing-Parts/Off-Road-Racing,3,f,t
1714,1,1714,1706,Car-Accessories/Boat-Parts/Inboard-Engines-Components,3,f,t
1734,1,1734,1727,Car-Accessories/ATV-Parts/Engines-Components,3,f,t
1295,1,1295,1289,Toys-Games/Video-Games/Accessories-for-SONY-PS2,3,f,t
1722,1,1722,1706,Car-Accessories/Boat-Parts/Service-Tools,3,f,t
1708,1,1708,1706,Car-Accessories/Boat-Parts/Anchoring-Docking,3,f,t
1319,1,1319,1303,Video-Audio/HDD-Player/Other-Multi-Media-Video-Player,3,f,t
1732,1,1732,1727,Car-Accessories/ATV-Parts/Decals-Emblems,3,f,t
1740,1,1740,1727,Car-Accessories/ATV-Parts/Winches,3,f,t
1712,1,1712,1706,Car-Accessories/Boat-Parts/Electrical-Lighting,3,t,t
1746,1,1746,1742,Car-Accessories/Performance-Racing-Parts/Dirt-Oval-Racing-Parts,3,f,t
1720,1,1720,1706,Car-Accessories/Boat-Parts/Propellers,3,f,t
1738,1,1738,1727,Car-Accessories/ATV-Parts/Transmissions-Chains,3,f,t
1710,1,1710,1706,Car-Accessories/Boat-Parts/Controls-Steering,3,f,t
37,1,37,35,Tablet-PC-Cellphone/Accessories-for-Cell-Phones/Bluetooth-Earphones,3,t,t
1718,1,1718,1706,Car-Accessories/Boat-Parts/Outboard-Engines-Components,3,f,t
1730,1,1730,1727,Car-Accessories/ATV-Parts/Body-Frame,3,f,t
1716,1,1716,1706,Car-Accessories/Boat-Parts/Jet-Drives,3,f,t
1726,1,1726,1706,Car-Accessories/Boat-Parts/Other,3,f,t
1736,1,1736,1727,Car-Accessories/ATV-Parts/Intake-Fuel-Systems,3,f,t
1724,1,1724,1706,Car-Accessories/Boat-Parts/Trailer-Parts,3,f,t
991,1,991,983,Apparel-Jewelry/Watches/Children-s-Watches,3,f,t
1728,1,1728,1727,Car-Accessories/ATV-Parts/Accessories,3,f,t
1241,1,1241,1240,Toys-Games/Classic-Toys/Balloons,3,f,t
1245,1,1245,1240,Toys-Games/Classic-Toys/Stickers,3,f,t
1276,1,1276,1274,Toys-Games/Novelty-Toys/Glow-in-the-Dark-Toys,3,f,t
1705,1,1705,1699,Car-Accessories/RV-Trailer-Camper-Parts/Other,3,f,t
1016,1,1016,864,Apparel-Jewelry/Jewelry-Design-Repair,2,f,t
38,1,38,35,Tablet-PC-Cellphone/Accessories-for-Cell-Phones/Phone-Selfie-Accessories,3,t,t
451,1,451,444,Lighting-Flashlights-LEDs/Lighting-Accessories/Switches,3,t,t
181,1,181,170,Test-Equipment-Tools/Electrical-Testing/Logic-Analyzers,3,f,t
175,1,175,170,Test-Equipment-Tools/Electrical-Testing/Circuit-Tracers-Analyzers,3,t,t
1060,1,1060,1054,Home-and-Garden/Home-living/Storage-Organization,3,t,t
141,1,141,140,Sports-Outdoor/Winter-Sports/Ski-Helmets,3,f,t
187,1,187,170,Test-Equipment-Tools/Electrical-Testing/Voltage-Testers,3,t,t
136,1,136,132,Sports-Outdoor/Beach-Sports/Swimwear,3,f,t
1076,1,1076,1071,Home-and-Garden/Home-Decor/Decorative-DIY-kit,3,t,t
1324,1,1324,1320,Video-Audio/Speakers-Karaoke/Microphone-Mic-for-Karaoke,3,t,t
194,1,194,189,Test-Equipment-Tools/Environal-Measurement-Instruments/Soil-Analysis-Instrument,3,t,t
1072,1,1072,1071,Home-and-Garden/Home-Decor/Wall-Stickers,3,t,t
118,1,118,115,Sports-Outdoor/Sports-Body-Building-/Yoga,3,f,f
160,1,160,159,Test-Equipment-Tools/UNI-T,2,t,t
170,1,170,159,Test-Equipment-Tools/Electrical-Testing,2,t,t
148,1,148,147,Sports-Outdoor/Ball-Games/Tennis-Others,3,f,t
163,1,163,160,Test-Equipment-Tools/UNI-T/Environmental-Testers,3,t,t
172,1,172,170,Test-Equipment-Tools/Electrical-Testing/Clamp-Meters,3,t,t
176,1,176,170,Test-Equipment-Tools/Electrical-Testing/Component-Testers,3,t,t
36,1,36,35,Tablet-PC-Cellphone/Accessories-for-Cell-Phones/Power-Banks,3,t,t
173,1,173,170,Test-Equipment-Tools/Electrical-Testing/Battery-Tester,3,f,t
56,1,56,53,Tablet-PC-Cellphone/Tablet-PC-Accessories/Tablet-PC-Back-Cases,3,f,t
112,1,112,111,Sports-Outdoor/Hunting/Sighting-Telescope,3,t,t
1074,1,1074,1071,Home-and-Garden/Home-Decor/Decorative-flowers-simulation-flowers,3,f,t
153,1,153,147,Sports-Outdoor/Ball-Games/Basketball-Others,3,f,t
149,1,149,147,Sports-Outdoor/Ball-Games/Badminton-Others,3,f,t
114,1,114,111,Sports-Outdoor/Hunting/Others,3,f,t
151,1,151,147,Sports-Outdoor/Ball-Games/Table-Tennis-Others,3,f,t
1542,1,1542,1539,Car-Accessories/Car-Gauges/Fuel-Gauges,3,t,t
150,1,150,147,Sports-Outdoor/Ball-Games/Golf-Others,3,t,t
152,1,152,147,Sports-Outdoor/Ball-Games/Volleyball-Others,3,f,t
108,1,108,98,Sports-Outdoor/Camping-Hiking/Emergency-Survival-Tools-,3,t,t
154,1,154,147,Sports-Outdoor/Ball-Games/Football-Others,3,f,t
139,1,139,132,Sports-Outdoor/Beach-Sports/Swimming-Caps,3,t,t
157,1,157,155,Sports-Outdoor/Travel-Accessories/OthersTravel-Accessories,3,f,t
110,1,110,98,Sports-Outdoor/Camping-Hiking/Camping-Furniture,3,t,t
1541,1,1541,1539,Car-Accessories/Car-Gauges/Clocks,3,f,t
133,1,133,132,Sports-Outdoor/Beach-Sports/Sunglasses,3,t,t
120,1,120,115,Sports-Outdoor/Sports-Body-Building-/Extreme-Sports,3,f,t
1007,1,1007,999,Apparel-Jewelry/Fashion-Jewelry/Brooches,3,f,t
138,1,138,132,Sports-Outdoor/Beach-Sports/Surfing-Boating,3,f,t
144,1,144,140,Sports-Outdoor/Winter-Sports/Hats-Scarfs,3,t,t
1078,1,1078,1019,Home-and-Garden/Home-Electronics,2,t,t
123,1,123,115,Sports-Outdoor/Sports-Body-Building-/Fitness-Bags,3,f,t
142,1,142,140,Sports-Outdoor/Winter-Sports/Ski-Goggles,3,t,t
146,1,146,140,Sports-Outdoor/Winter-Sports/Crampons,3,t,t
122,1,122,115,Sports-Outdoor/Sports-Body-Building-/Shinguards,3,f,t
124,1,124,115,Sports-Outdoor/Sports-Body-Building-/Sweaters,3,f,t
125,1,125,115,Sports-Outdoor/Sports-Body-Building-/Undergarment,3,f,t
128,1,128,115,Sports-Outdoor/Sports-Body-Building-/Rope-Skipping,3,f,t
126,1,126,115,Sports-Outdoor/Sports-Body-Building-/Gym-Strips,3,f,t
130,1,130,115,Sports-Outdoor/Sports-Body-Building-/Amusement-Parks,3,f,t
127,1,127,115,Sports-Outdoor/Sports-Body-Building-/Fitness-Gloves,3,f,t
158,1,158,63,Sports-Outdoor/Others,2,f,t
129,1,129,115,Sports-Outdoor/Sports-Body-Building-/Wrist-Developers,3,f,t
131,1,131,115,Sports-Outdoor/Sports-Body-Building-/Kites,3,f,t
165,1,165,159,Test-Equipment-Tools/MASTECH,2,t,t
1058,1,1058,1054,Home-and-Garden/Home-living/Plugs-Sockets,3,t,t
1014,1,1014,1011,Apparel-Jewelry/Jewelry-Supplies/Jewelry-Display-Stand,3,f,t
1627,1,1627,1625,Car-Accessories/Car-Wheels-Tires-Parts-/Tire-Pressure-Monitor-SystemsTire-Pressure-Monitor-Systems,3,f,t
1375,1,1375,1371,Car-Accessories/Car-Lighting-Lamps/Headlights,3,f,t
143,1,143,140,Sports-Outdoor/Winter-Sports/Gloves,3,t,t
106,1,106,98,Sports-Outdoor/Camping-Hiking/Compasses,3,t,t
134,1,134,132,Sports-Outdoor/Beach-Sports/Swimming-Goggles,3,t,t
135,1,135,132,Sports-Outdoor/Beach-Sports/Diving,3,f,t
137,1,137,132,Sports-Outdoor/Beach-Sports/Diving-Mask-Snorkels-,3,f,t
116,1,116,115,Sports-Outdoor/Sports-Body-Building-/Wearable-Sports-Electronics,3,f,t
1436,1,1436,1433,Car-Accessories/Car-Computer-Chip-Cruise-Control-/Performance-Chips,3,f,t
1449,1,1449,1446,Car-Accessories/Car-Decals-Emblems-License-Frames-/License-Plate-Frames,3,f,t
202,1,202,159,Test-Equipment-Tools/Optical-Instrument,2,t,t
209,1,209,207,Test-Equipment-Tools/Measurement-Instrument/Length-Measuring-Instrument,3,t,t
1209,1,1209,1208,RC-Models-Hobbies/General-Electrinic-Parts/Motor,3,t,f
188,1,188,170,Test-Equipment-Tools/Electrical-Testing/Others,3,f,t
210,1,210,207,Test-Equipment-Tools/Measurement-Instrument/Others,3,f,t
1275,1,1275,1274,Toys-Games/Novelty-Toys/Joke-Monsters-Toys,3,f,t
285,1,285,284,Cameras-Photo-Accessories/Flashes-Flash-Accessories/Flashes-Speedlites,3,t,t
190,1,190,189,Test-Equipment-Tools/Environal-Measurement-Instruments/Infrared-Thermometer,3,t,t
203,1,203,202,Test-Equipment-Tools/Optical-Instrument/Microscope,3,t,t
212,1,212,211,Test-Equipment-Tools/Hardware-Gadgets/Maintenance-Tools,3,t,t
1242,1,1242,1240,Toys-Games/Classic-Toys/Pretend-Play,3,f,t
247,1,247,240,Computer-Networking/Flash-Drives-Storage/MS-Pro-Duo,3,t,f
1264,1,1264,1261,Toys-Games/Electronic-Toys/Toy-Phones,3,f,t
201,1,201,189,Test-Equipment-Tools/Environal-Measurement-Instruments/Others,3,f,t
1262,1,1262,1261,Toys-Games/Electronic-Toys/Electronic-Pets,3,f,t
287,1,287,284,Cameras-Photo-Accessories/Flashes-Flash-Accessories/Diffusers,3,t,t
192,1,192,189,Test-Equipment-Tools/Environal-Measurement-Instruments/Gas-Testing-Instrument,3,t,t
254,1,254,251,Computer-Networking/Cables-Connectors/Connectors,3,t,f
281,1,281,279,Cameras-Photo-Accessories/Camcorders-Digital-Cameras/Digital-Picture-Frames,3,t,t
289,1,289,284,Cameras-Photo-Accessories/Flashes-Flash-Accessories/Flash-Cables,3,f,t
1697,1,1697,1691,Car-Accessories/Other-Vehicle-Parts/Scooter-Parts,3,f,t
1244,1,1244,1240,Toys-Games/Classic-Toys/Spinning-Tops,3,f,t
283,1,283,279,Cameras-Photo-Accessories/Camcorders-Digital-Cameras/Mini-Cameras,3,t,t
291,1,291,284,Cameras-Photo-Accessories/Flashes-Flash-Accessories/Others,3,f,t
271,1,271,270,Computer-Networking/USB-Gadgets/USB-Fan,3,t,f
273,1,273,270,Computer-Networking/USB-Gadgets/USB-Phone,3,t,f
193,1,193,189,Test-Equipment-Tools/Environal-Measurement-Instruments/Water-Quality-Analysis-Instrument,3,t,t
204,1,204,202,Test-Equipment-Tools/Optical-Instrument/Magnifier,3,t,t
1263,1,1263,1261,Toys-Games/Electronic-Toys/Toy-Cameras,3,f,t
275,1,275,270,Computer-Networking/USB-Gadgets/Others-USB-Gadgets,3,t,t
269,1,269,221,Computer-Networking/Printer-Supplies-Accessories,2,f,t
195,1,195,189,Test-Equipment-Tools/Environal-Measurement-Instruments/Anemometer,3,t,t
177,1,177,170,Test-Equipment-Tools/Electrical-Testing/Current-Testers,3,t,t
315,1,315,313,Cameras-Photo-Accessories/Tripods-Supports/Monopod-Tripods,3,t,t
205,1,205,202,Test-Equipment-Tools/Optical-Instrument/Optical-measurement-instrument,3,t,t
1211,1,1211,1208,RC-Models-Hobbies/General-Electrinic-Parts/Servo,3,t,t
178,1,178,170,Test-Equipment-Tools/Electrical-Testing/EMF-Meters,3,f,t
196,1,196,189,Test-Equipment-Tools/Environal-Measurement-Instruments/Illuminometer,3,t,t
