"iid","iwebsiteid","icategoryid","iparentid","cpath","ilevel","iposition","ichildrencount"
"312","1","312","307","Cameras-Photo-Accessories/Bags-Cases-Straps/Others","3",null,null
"313","1","313","243","Cameras-Photo-Accessories/GOPRO-Accessories","2",null,null
"314","1","314","313","Cameras-Photo-Accessories/GOPRO-Accessories/Self-shooting-Accessories","3",null,null
"315","1","315","313","Cameras-Photo-Accessories/GOPRO-Accessories/Wearing-Accessories","3",null,null
"316","1","316","313","Cameras-Photo-Accessories/GOPRO-Accessories/Tripods-Fix-Accessories","3",null,null
"317","1","317","313","Cameras-Photo-Accessories/GOPRO-Accessories/Waterproof-Protecting-Accessories","3",null,null
"318","1","318","313","Cameras-Photo-Accessories/GOPRO-Accessories/Lens-Accessories","3",null,null
"319","1","319","313","Cameras-Photo-Accessories/GOPRO-Accessories/Others","3",null,null
"320","1","320",null,"Lighting-Flashlights-LEDs","1",null,null
"321","1","321","320","Lighting-Flashlights-LEDs/LED-Lighting","2",null,null
"322","1","322","321","Lighting-Flashlights-LEDs/LED-Lighting/LED-Strips","3",null,null
"323","1","323","321","Lighting-Flashlights-LEDs/LED-Lighting/LED-Downlights","3",null,null
"324","1","324","321","Lighting-Flashlights-LEDs/LED-Lighting/LED-Spotlights","3",null,null
"325","1","325","321","Lighting-Flashlights-LEDs/LED-Lighting/LED-String","3",null,null
"326","1","326","321","Lighting-Flashlights-LEDs/LED-Lighting/LED-Grow-Lights","3",null,null
"327","1","327","321","Lighting-Flashlights-LEDs/LED-Lighting/LED-Headlamps","3",null,null
"328","1","328","321","Lighting-Flashlights-LEDs/LED-Lighting/LED-Bar-Lights","3",null,null
"329","1","329","321","Lighting-Flashlights-LEDs/LED-Lighting/LED-Panel-Lights","3",null,null
"330","1","330","321","Lighting-Flashlights-LEDs/LED-Lighting/LED-Modules","3",null,null
"331","1","331","320","Lighting-Flashlights-LEDs/Light-Bulbs","2",null,null
"332","1","332","331","Lighting-Flashlights-LEDs/Light-Bulbs/LED-Bulbs-Tubes","3",null,null
"333","1","333","331","Lighting-Flashlights-LEDs/Light-Bulbs/High-Intensity-Discharge","3",null,null
"334","1","334","331","Lighting-Flashlights-LEDs/Light-Bulbs/Incandescent-Bulbs","3",null,null
"335","1","335","331","Lighting-Flashlights-LEDs/Light-Bulbs/Halogen-Bulbs","3",null,null
"336","1","336","331","Lighting-Flashlights-LEDs/Light-Bulbs/Energy-Saving-Fluorescent","3",null,null
"337","1","337","331","Lighting-Flashlights-LEDs/Light-Bulbs/Ultraviolet-Lamps","3",null,null
"338","1","338","331","Lighting-Flashlights-LEDs/Light-Bulbs/Neon-Bulbs-Tubes","3",null,null
"339","1","339","320","Lighting-Flashlights-LEDs/LED-Lamps","2",null,null
"340","1","340","339","Lighting-Flashlights-LEDs/LED-Lamps/LED-Solar-Lamps","3",null,null
"341","1","341","339","Lighting-Flashlights-LEDs/LED-Lamps/LED-Indoor-Wall-Lamps","3",null,null
"342","1","342","339","Lighting-Flashlights-LEDs/LED-Lamps/LED-Table-Lamps","3",null,null
"343","1","343","339","Lighting-Flashlights-LEDs/LED-Lamps/LED-Desk-Lamps","3",null,null
"344","1","344","339","Lighting-Flashlights-LEDs/LED-Lamps/LED-Underwater-Lights","3",null,null
"345","1","345","339","Lighting-Flashlights-LEDs/LED-Lamps/LED-Underground-Lamps","3",null,null
"346","1","346","339","Lighting-Flashlights-LEDs/LED-Lamps/LED-Outdoor-Wall-Lamps","3",null,null
"347","1","347","339","Lighting-Flashlights-LEDs/LED-Lamps/LED-Lawn-Lamps","3",null,null
"348","1","348","320","Lighting-Flashlights-LEDs/Flashlights","2",null,null
"349","1","349","348","Lighting-Flashlights-LEDs/Flashlights/LED-Flashlights","3",null,null
"350","1","350","349","Lighting-Flashlights-LEDs/Flashlights/LED-Flashlights/LED","4",null,null
"351","1","351","348","Lighting-Flashlights-LEDs/Flashlights/LED-Keychain-flashlights","3",null,null
"352","1","352","348","Lighting-Flashlights-LEDs/Flashlights/solar-powered-flashlights","3",null,null
"353","1","353","348","Lighting-Flashlights-LEDs/Flashlights/Lasers-flashlights","3",null,null
"354","1","354","348","Lighting-Flashlights-LEDs/Flashlights/Chargers-batteries","3",null,null
"355","1","355","354","Lighting-Flashlights-LEDs/Flashlights/Chargers-batteries/-","4",null,null
"356","1","356","348","Lighting-Flashlights-LEDs/Flashlights/Other-Flashlights","3",null,null
"357","1","357","348","Lighting-Flashlights-LEDs/Flashlights/Flashlight-Accessories","3",null,null
"358","1","358","320","Lighting-Flashlights-LEDs/Indoor-Lighting","2",null,null
"359","1","359","358","Lighting-Flashlights-LEDs/Indoor-Lighting/Pendant-Lights","3",null,null
"360","1","360","358","Lighting-Flashlights-LEDs/Indoor-Lighting/Ceiling-Lights","3",null,null
"361","1","361","358","Lighting-Flashlights-LEDs/Indoor-Lighting/Night-Lights","3",null,null
"362","1","362","358","Lighting-Flashlights-LEDs/Indoor-Lighting/Chandeliers","3",null,null
"363","1","363","358","Lighting-Flashlights-LEDs/Indoor-Lighting/Downlights","3",null,null
"364","1","364","358","Lighting-Flashlights-LEDs/Indoor-Lighting/Wall-Lamps","3",null,null
"365","1","365","358","Lighting-Flashlights-LEDs/Indoor-Lighting/Table-Lamps","3",null,null
"366","1","366","358","Lighting-Flashlights-LEDs/Indoor-Lighting/Desk-Lamps","3",null,null
"367","1","367","358","Lighting-Flashlights-LEDs/Indoor-Lighting/Floor-Lamps","3",null,null
"368","1","368","358","Lighting-Flashlights-LEDs/Indoor-Lighting/Book-Lights","3",null,null
"369","1","369","358","Lighting-Flashlights-LEDs/Indoor-Lighting/Chandelier-Crystal","3",null,null
"370","1","370","358","Lighting-Flashlights-LEDs/Indoor-Lighting/Spotlights","3",null,null
"371","1","371","358","Lighting-Flashlights-LEDs/Indoor-Lighting/Track-Lighting","3",null,null
"372","1","372","358","Lighting-Flashlights-LEDs/Indoor-Lighting/Ceiling-Fans","3",null,null
"373","1","373","358","Lighting-Flashlights-LEDs/Indoor-Lighting/Grille-Lamps","3",null,null
"374","1","374","320","Lighting-Flashlights-LEDs/Outdoor-Lighting","2",null,null
"375","1","375","374","Lighting-Flashlights-LEDs/Outdoor-Lighting/Lighting-Strings","3",null,null
"376","1","376","374","Lighting-Flashlights-LEDs/Outdoor-Lighting/Solar-Lamps","3",null,null
"377","1","377","374","Lighting-Flashlights-LEDs/Outdoor-Lighting/Floodlights","3",null,null
"378","1","378","374","Lighting-Flashlights-LEDs/Outdoor-Lighting/Landscape-Lighting","3",null,null
"379","1","379","374","Lighting-Flashlights-LEDs/Outdoor-Lighting/Outdoor-Wall-Lamps","3",null,null
"380","1","380","374","Lighting-Flashlights-LEDs/Outdoor-Lighting/Underwater-Lights","3",null,null
"381","1","381","374","Lighting-Flashlights-LEDs/Outdoor-Lighting/Street-Lights","3",null,null
"382","1","382","374","Lighting-Flashlights-LEDs/Outdoor-Lighting/Underground-Lamps","3",null,null
"383","1","383","374","Lighting-Flashlights-LEDs/Outdoor-Lighting/Lawn-Lamps","3",null,null
"384","1","384","374","Lighting-Flashlights-LEDs/Outdoor-Lighting/Lanterns","3",null,null
"385","1","385","374","Lighting-Flashlights-LEDs/Outdoor-Lighting/Path-Lights","3",null,null
"386","1","386","320","Lighting-Flashlights-LEDs/Holiday-Lighting","2",null,null
"387","1","387","386","Lighting-Flashlights-LEDs/Holiday-Lighting/LED-Strips","3",null,null
"388","1","388","386","Lighting-Flashlights-LEDs/Holiday-Lighting/Stage-Lighting-Effect","3",null,null
"389","1","389","386","Lighting-Flashlights-LEDs/Holiday-Lighting/Night-Lights","3",null,null
"390","1","390","386","Lighting-Flashlights-LEDs/Holiday-Lighting/LED-String","3",null,null
"391","1","391","386","Lighting-Flashlights-LEDs/Holiday-Lighting/LED-Solar-Lamps","3",null,null
"392","1","392","386","Lighting-Flashlights-LEDs/Holiday-Lighting/LED-Table-Lamps","3",null,null
"393","1","393","386","Lighting-Flashlights-LEDs/Holiday-Lighting/Optic-Fiber-Lights","3",null,null
"394","1","394","386","Lighting-Flashlights-LEDs/Holiday-Lighting/Laser-Flashlights","3",null,null
"395","1","395","386","Lighting-Flashlights-LEDs/Holiday-Lighting/Lanterns","3",null,null
"396","1","396","320","Lighting-Flashlights-LEDs/Business-Lights","2",null,null
"397","1","397","396","Lighting-Flashlights-LEDs/Business-Lights/Stage-DJ-Lighting-Effect","3",null,null
"398","1","398","396","Lighting-Flashlights-LEDs/Business-Lights/Advertising-Lights","3",null,null
"399","1","399","396","Lighting-Flashlights-LEDs/Business-Lights/Optic-Fiber-Lights","3",null,null
"400","1","400","396","Lighting-Flashlights-LEDs/Business-Lights/Laser-Flashlights","3",null,null
"401","1","401","396","Lighting-Flashlights-LEDs/Business-Lights/Professional-Lighting","3",null,null
"402","1","402","320","Lighting-Flashlights-LEDs/Professional-Lighting","2",null,null
"403","1","403","402","Lighting-Flashlights-LEDs/Professional-Lighting/Stage-DJ-Lighting-Effect","3",null,null
"404","1","404","402","Lighting-Flashlights-LEDs/Professional-Lighting/Industrial-Lighting","3",null,null
"405","1","405","402","Lighting-Flashlights-LEDs/Professional-Lighting/Grow-Lights","3",null,null
"406","1","406","402","Lighting-Flashlights-LEDs/Professional-Lighting/Emergency-Lights","3",null,null
"407","1","407","402","Lighting-Flashlights-LEDs/Professional-Lighting/Indicator-Lights","3",null,null
"408","1","408","402","Lighting-Flashlights-LEDs/Professional-Lighting/Photographic-Lights","3",null,null
"409","1","409","402","Lighting-Flashlights-LEDs/Professional-Lighting/UV-GEL-Curing-Lights","3",null,null
"410","1","410","320","Lighting-Flashlights-LEDs/Lighting-Accessories","2",null,null
"411","1","411","410","Lighting-Flashlights-LEDs/Lighting-Accessories/Lighting-Transformers","3",null,null
"412","1","412","410","Lighting-Flashlights-LEDs/Lighting-Accessories/RGB-Controlers","3",null,null
"413","1","413","410","Lighting-Flashlights-LEDs/Lighting-Accessories/Lamp-Bases","3",null,null
"414","1","414","410","Lighting-Flashlights-LEDs/Lighting-Accessories/Dimmers","3",null,null
"415","1","415","410","Lighting-Flashlights-LEDs/Lighting-Accessories/Connectors","3",null,null
"416","1","416","410","Lighting-Flashlights-LEDs/Lighting-Accessories/Chandelier-Crystal","3",null,null
"417","1","417","410","Lighting-Flashlights-LEDs/Lighting-Accessories/Switches","3",null,null
"418","1","418","410","Lighting-Flashlights-LEDs/Lighting-Accessories/Lamp-Holder-Converters","3",null,null
"419","1","419","410","Lighting-Flashlights-LEDs/Lighting-Accessories/Wires-Cables","3",null,null
"420","1","420","410","Lighting-Flashlights-LEDs/Lighting-Accessories/Light-Beads","3",null,null
"421","1","421","410","Lighting-Flashlights-LEDs/Lighting-Accessories/Ballasts","3",null,null
"422","1","422","410","Lighting-Flashlights-LEDs/Lighting-Accessories/Flashlight-Mount-Holders","3",null,null
"423","1","423","410","Lighting-Flashlights-LEDs/Lighting-Accessories/Lights-Lifters","3",null,null
"424","1","424","410","Lighting-Flashlights-LEDs/Lighting-Accessories/Starters","3",null,null
"425","1","425","320","Lighting-Flashlights-LEDs/Other-LED-Lighting","2",null,null
"426","1","426","425","Lighting-Flashlights-LEDs/Other-LED-Lighting/Gun-Lasers","3",null,null
"427","1","427","426","Lighting-Flashlights-LEDs/Other-LED-Lighting/Gun-Lasers/Red-Lasers","4",null,null
"428","1","428","426","Lighting-Flashlights-LEDs/Other-LED-Lighting/Gun-Lasers/Green-Lasers","4",null,null
"429","1","429","426","Lighting-Flashlights-LEDs/Other-LED-Lighting/Gun-Lasers/Blue-Laser","4",null,null
"430","1","430","426","Lighting-Flashlights-LEDs/Other-LED-Lighting/Gun-Lasers/Purple-Laser","4",null,null
"431","1","431","426","Lighting-Flashlights-LEDs/Other-LED-Lighting/Gun-Lasers/Gun-Mounts-Lasers-Accessories","4",null,null
"432","1","432","425","Lighting-Flashlights-LEDs/Other-LED-Lighting/Wireless-Presenters","3",null,null
"433","1","433","425","Lighting-Flashlights-LEDs/Other-LED-Lighting/LED-Keychains","3",null,null
"434","1","434",null,"Health-Beauty","1",null,null
"435","1","435","434","Health-Beauty/Makeup-Tools-Accessories","2",null,null
"436","1","436","435","Health-Beauty/Makeup-Tools-Accessories/Face","3",null,null
"437","1","437","435","Health-Beauty/Makeup-Tools-Accessories/Eyes","3",null,null
"438","1","438","435","Health-Beauty/Makeup-Tools-Accessories/Lips","3",null,null
"439","1","439","435","Health-Beauty/Makeup-Tools-Accessories/Face-Cleaning-Tools","3",null,null
"440","1","440","435","Health-Beauty/Makeup-Tools-Accessories/Eyebrow-Shaping-Tools","3",null,null
"441","1","441","435","Health-Beauty/Makeup-Tools-Accessories/Eyes-Tools-Accessories","3",null,null
"442","1","442","435","Health-Beauty/Makeup-Tools-Accessories/Cosmetic-Bags","3",null,null
"443","1","443","435","Health-Beauty/Makeup-Tools-Accessories/Cosmetic-Brushes","3",null,null
"444","1","444","435","Health-Beauty/Makeup-Tools-Accessories/Skincare-Tools-Accessories","3",null,null
"445","1","445","435","Health-Beauty/Makeup-Tools-Accessories/Others","3",null,null
"446","1","446","434","Health-Beauty/Wig-Accessories","2",null,null
"447","1","447","446","Health-Beauty/Wig-Accessories/Fashion-Wigs","3",null,null
"448","1","448","446","Health-Beauty/Wig-Accessories/Cosplay-Wigs","3",null,null
"449","1","449","446","Health-Beauty/Wig-Accessories/Gradient-Wigs","3",null,null
"450","1","450","446","Health-Beauty/Wig-Accessories/Clip-In-Wigs","3",null,null
"451","1","451","446","Health-Beauty/Wig-Accessories/Partial-Wigs","3",null,null
"452","1","452","446","Health-Beauty/Wig-Accessories/Halloween-Wigs","3",null,null
"453","1","453","446","Health-Beauty/Wig-Accessories/Hairxtensions","3",null,null
"454","1","454","446","Health-Beauty/Wig-Accessories/Wig-Hair-Bands","3",null,null
"455","1","455","446","Health-Beauty/Wig-Accessories/Wig-Hair-Bags","3",null,null
"456","1","456","446","Health-Beauty/Wig-Accessories/Caring-Tools","3",null,null
"457","1","457","446","Health-Beauty/Wig-Accessories/Others","3",null,null
"458","1","458","434","Health-Beauty/Hair-Care","2",null,null
"459","1","459","458","Health-Beauty/Hair-Care/Hair-Dryers","3",null,null
"460","1","460","458","Health-Beauty/Hair-Care/Curling-Straightening-Irons","3",null,null
"461","1","461","458","Health-Beauty/Hair-Care/Haircissors","3",null,null
"462","1","462","458","Health-Beauty/Hair-Care/Styling-Tools","3",null,null
"463","1","463","434","Health-Beauty/Nail-Care","2",null,null
"464","1","464","463","Health-Beauty/Nail-Care/Nail-Polish","3",null,null
"465","1","465","463","Health-Beauty/Nail-Care/Nail-Polish-Sets-Kits","3",null,null
"466","1","466","463","Health-Beauty/Nail-Care/Nail-Art-Decorations","3",null,null
"467","1","467","463","Health-Beauty/Nail-Care/Nail-Art-Nursing-Machines","3",null,null
"468","1","468","463","Health-Beauty/Nail-Care/Nail-Dryers","3",null,null
"469","1","469","463","Health-Beauty/Nail-Care/Foot-Care","3",null,null
"470","1","470","463","Health-Beauty/Nail-Care/Nail-Art-Accessories","3",null,null
"471","1","471","434","Health-Beauty/Oral-Care","2",null,null
"472","1","472","434","Health-Beauty/Health-Personal-Care","2",null,null
"473","1","473","472","Health-Beauty/Health-Personal-Care/Testing-Equipment-Accessories","3",null,null
"474","1","474","472","Health-Beauty/Health-Personal-Care/Spa-Equipment-Accessories","3",null,null
"475","1","475","472","Health-Beauty/Health-Personal-Care/Wax-Therapy-Instruments-Accessories","3",null,null
"476","1","476","472","Health-Beauty/Health-Personal-Care/Aromatherapy-Products-Accessories","3",null,null
"477","1","477","472","Health-Beauty/Health-Personal-Care/Slimming-Equipment-Accessories","3",null,null
"478","1","478","472","Health-Beauty/Health-Personal-Care/Body-Care-Sets-Kits","3",null,null
"479","1","479","472","Health-Beauty/Health-Personal-Care/Others","3",null,null
"480","1","480","472","Health-Beauty/Health-Personal-Care/Shaving-Hair-Removal","3",null,null
"481","1","481","472","Health-Beauty/Health-Personal-Care/Massage-Tools","3",null,null
"482","1","482","472","Health-Beauty/Health-Personal-Care/Bath-Shower","3",null,null
"483","1","483","472","Health-Beauty/Health-Personal-Care/Adult-Products","3",null,null
"484","1","484","434","Health-Beauty/Tattoos-Body-Art","2",null,null
"485","1","485","484","Health-Beauty/Tattoos-Body-Art/Tattoo-Machines","3",null,null
"486","1","486","484","Health-Beauty/Tattoos-Body-Art/Tattoo-Power-Supplies","3",null,null
"487","1","487","484","Health-Beauty/Tattoos-Body-Art/Tattoo-Tools-Parts","3",null,null
"488","1","488","484","Health-Beauty/Tattoos-Body-Art/Eyebrow-Tattoo-Tools-Parts","3",null,null
"489","1","489","484","Health-Beauty/Tattoos-Body-Art/Tattoo-Sets-Kits","3",null,null
"490","1","490","484","Health-Beauty/Tattoos-Body-Art/Body-Art-Accessories","3",null,null
"491","1","491","434","Health-Beauty/DIY-Tools-Accessories","2",null,null
"492","1","492",null,"Car-Accessories","1",null,null
"493","1","493","492","Car-Accessories/Air-Conditioning-and-Heat","2",null,null
"494","1","494","493","Car-Accessories/Air-Conditioning-and-Heat/A-C-Compressor-Clutch","3",null,null
"495","1","495","493","Car-Accessories/Air-Conditioning-and-Heat/A-C-Hoses-Fittings","3",null,null
"496","1","496","493","Car-Accessories/Air-Conditioning-and-Heat/A-C-Heater-Controls","3",null,null
"497","1","497","493","Car-Accessories/Air-Conditioning-and-Heat/Blower-Motors","3",null,null
"498","1","498","493","Car-Accessories/Air-Conditioning-and-Heat/Condensers-Evaporators","3",null,null
"499","1","499","493","Car-Accessories/Air-Conditioning-and-Heat/Heater-Parts","3",null,null
"500","1","500","493","Car-Accessories/Air-Conditioning-and-Heat/Other","3",null,null
"501","1","501","492","Car-Accessories/Lighting-Lamps","2",null,null
"502","1","502","501","Car-Accessories/Lighting-Lamps/Corner-Lights","3",null,null
"503","1","503","501","Car-Accessories/Lighting-Lamps/Fog-Driving-Lights","3",null,null
"504","1","504","501","Car-Accessories/Lighting-Lamps/Headlight-Tail-Light-Covers","3",null,null
"505","1","505","501","Car-Accessories/Lighting-Lamps/Headlights","3",null,null
"506","1","506","501","Car-Accessories/Lighting-Lamps/Instrument-Panel-Lights","3",null,null
"507","1","507","501","Car-Accessories/Lighting-Lamps/Interior-Lights","3",null,null
"508","1","508","501","Car-Accessories/Lighting-Lamps/LED-LightsLED","3",null,null
"509","1","509","501","Car-Accessories/Lighting-Lamps/Neon-Lights","3",null,null
"510","1","510","501","Car-Accessories/Lighting-Lamps/Side-Marker-Lights","3",null,null
"511","1","511","501","Car-Accessories/Lighting-Lamps/Tail-Lights","3",null,null
"512","1","512","501","Car-Accessories/Lighting-Lamps/Turn-Signals","3",null,null
"513","1","513","501","Car-Accessories/Lighting-Lamps/Xenon-Lights","3",null,null
"514","1","514","501","Car-Accessories/Lighting-Lamps/Other","3",null,null
"515","1","515","492","Car-Accessories/Safety-Security","2",null,null
"516","1","516","515","Car-Accessories/Safety-Security/Air-Bags","3",null,null
"517","1","517","515","Car-Accessories/Safety-Security/Air-Bags-Parts","3",null,null
"518","1","518","515","Car-Accessories/Safety-Security/Anti-Theft-Devices","3",null,null
"519","1","519","515","Car-Accessories/Safety-Security/Car-Alarms","3",null,null
"520","1","520","515","Car-Accessories/Safety-Security/Fire-Extinguishers","3",null,null
"521","1","521","515","Car-Accessories/Safety-Security/Keyless-Entry-Remote-Fob","3",null,null
"522","1","522","515","Car-Accessories/Safety-Security/Remote-Car-Start","3",null,null
"523","1","523","515","Car-Accessories/Safety-Security/Seat-Belts-Parts","3",null,null
"524","1","524","515","Car-Accessories/Safety-Security/Other","3",null,null
"525","1","525","492","Car-Accessories/Air-Intake-and-Fuel-Delivery","2",null,null
"526","1","526","525","Car-Accessories/Air-Intake-and-Fuel-Delivery/Air-Cleaner-Assemblies","3",null,null
"527","1","527","525","Car-Accessories/Air-Intake-and-Fuel-Delivery/Air-Intake-Systems","3",null,null
"528","1","528","525","Car-Accessories/Air-Intake-and-Fuel-Delivery/Carburetors","3",null,null
"529","1","529","525","Car-Accessories/Air-Intake-and-Fuel-Delivery/Carburetor-Parts","3",null,null
"530","1","530","525","Car-Accessories/Air-Intake-and-Fuel-Delivery/Chokes","3",null,null
"531","1","531","525","Car-Accessories/Air-Intake-and-Fuel-Delivery/Fuel-Inject-Controls-Parts-","3",null,null
"532","1","532","525","Car-Accessories/Air-Intake-and-Fuel-Delivery/Fuel-Injectors","3",null,null
"533","1","533","525","Car-Accessories/Air-Intake-and-Fuel-Delivery/Fuel-Pumps","3",null,null
"534","1","534","525","Car-Accessories/Air-Intake-and-Fuel-Delivery/Fuel-Tanks","3",null,null
"535","1","535","525","Car-Accessories/Air-Intake-and-Fuel-Delivery/Intake-Manifold","3",null,null
"536","1","536","525","Car-Accessories/Air-Intake-and-Fuel-Delivery/Sensors","3",null,null
"537","1","537","525","Car-Accessories/Air-Intake-and-Fuel-Delivery/Throttle-Body","3",null,null
"538","1","538","525","Car-Accessories/Air-Intake-and-Fuel-Delivery/Other","3",null,null
"539","1","539","492","Car-Accessories/Brakes","2",null,null
"540","1","540","539","Car-Accessories/Brakes/ABS-System-PartsABS","3",null,null
"541","1","541","539","Car-Accessories/Brakes/Brake-Hoses","3",null,null
"542","1","542","539","Car-Accessories/Brakes/Brake-Lines","3",null,null
"543","1","543","539","Car-Accessories/Brakes/Caliper-Parts","3",null,null
"544","1","544","539","Car-Accessories/Brakes/Discs-Rotors-Hardware-","3",null,null
"545","1","545","539","Car-Accessories/Brakes/Drums-Hardware","3",null,null
"546","1","546","539","Car-Accessories/Brakes/Master-Cylinders-Parts","3",null,null
"547","1","547","539","Car-Accessories/Brakes/Pads-Shoes","3",null,null
"548","1","548","539","Car-Accessories/Brakes/Parking-Brake-Cables","3",null,null
"549","1","549","539","Car-Accessories/Brakes/Sensors-Switches","3",null,null
"550","1","550","539","Car-Accessories/Brakes/Trailer-Brakes","3",null,null
"551","1","551","539","Car-Accessories/Brakes/Wheel-Cylinders-Parts","3",null,null
"552","1","552","539","Car-Accessories/Brakes/Other","3",null,null
"553","1","553","492","Car-Accessories/Charging-Starting-Systems","2",null,null
"554","1","554","553","Car-Accessories/Charging-Starting-Systems/Alternators-Generators","3",null,null
"555","1","555","553","Car-Accessories/Charging-Starting-Systems/Alternators-Generators-Parts","3",null,null
"556","1","556","553","Car-Accessories/Charging-Starting-Systems/Batteries","3",null,null
"557","1","557","553","Car-Accessories/Charging-Starting-Systems/Battery-Cables-Connectors","3",null,null
"558","1","558","553","Car-Accessories/Charging-Starting-Systems/Battery-Trays","3",null,null
"559","1","559","553","Car-Accessories/Charging-Starting-Systems/Starters","3",null,null
"560","1","560","553","Car-Accessories/Charging-Starting-Systems/Starters-Parts","3",null,null
"561","1","561","553","Car-Accessories/Charging-Starting-Systems/Voltage-Regulators","3",null,null
"562","1","562","553","Car-Accessories/Charging-Starting-Systems/Other","3",null,null
"563","1","563","492","Car-Accessories/Computer-Chip-Cruise-Control-","2",null,null
"564","1","564","563","Car-Accessories/Computer-Chip-Cruise-Control-/Cruise-Control-Units","3",null,null
"565","1","565","563","Car-Accessories/Computer-Chip-Cruise-Control-/Engine-Computers","3",null,null
"566","1","566","563","Car-Accessories/Computer-Chip-Cruise-Control-/Performance-Chips","3",null,null
"567","1","567","563","Car-Accessories/Computer-Chip-Cruise-Control-/Other","3",null,null
"568","1","568","492","Car-Accessories/Cooling-System","2",null,null
"569","1","569","568","Car-Accessories/Cooling-System/Fans-Kits","3",null,null
"570","1","570","568","Car-Accessories/Cooling-System/Hoses-Clamps","3",null,null
"571","1","571","568","Car-Accessories/Cooling-System/Oil-Coolers","3",null,null
"572","1","572","568","Car-Accessories/Cooling-System/Radiators-Parts","3",null,null
"573","1","573","568","Car-Accessories/Cooling-System/Thermostats-Parts","3",null,null
"574","1","574","568","Car-Accessories/Cooling-System/Water-Pumps","3",null,null
"575","1","575","568","Car-Accessories/Cooling-System/Other","3",null,null
"576","1","576","492","Car-Accessories/Decals-Emblems-License-Frames-","2",null,null
"577","1","577","576","Car-Accessories/Decals-Emblems-License-Frames-/Decals-Stickers","3",null,null
"578","1","578","576","Car-Accessories/Decals-Emblems-License-Frames-/Emblems","3",null,null
"579","1","579","576","Car-Accessories/Decals-Emblems-License-Frames-/License-Plate-Frames","3",null,null
"580","1","580","576","Car-Accessories/Decals-Emblems-License-Frames-/Other","3",null,null
"581","1","581","492","Car-Accessories/Electric-Vehicle-Parts","2",null,null
"582","1","582","581","Car-Accessories/Electric-Vehicle-Parts/Accessories","3",null,null
"583","1","583","581","Car-Accessories/Electric-Vehicle-Parts/Chargers-Service-Equipment","3",null,null
"584","1","584","581","Car-Accessories/Electric-Vehicle-Parts/Controllers","3",null,null
"585","1","585","581","Car-Accessories/Electric-Vehicle-Parts/Converters-Inverters","3",null,null
"586","1","586","581","Car-Accessories/Electric-Vehicle-Parts/Conversion-Kits","3",null,null
"587","1","587","581","Car-Accessories/Electric-Vehicle-Parts/Electric-Vehicle-Batteries","3",null,null
"588","1","588","581","Car-Accessories/Electric-Vehicle-Parts/Motors","3",null,null
"589","1","589","581","Car-Accessories/Electric-Vehicle-Parts/Other","3",null,null
"590","1","590","492","Car-Accessories/Emission-System","2",null,null
"591","1","591","590","Car-Accessories/Emission-System/Air-Bypass-Valves","3",null,null
"592","1","592","590","Car-Accessories/Emission-System/EGR-Valves-PartsEGR","3",null,null
"593","1","593","590","Car-Accessories/Emission-System/Emissions-Modules-Control-Units-","3",null,null
"594","1","594","590","Car-Accessories/Emission-System/Smog-Air-Pumps","3",null,null
"595","1","595","590","Car-Accessories/Emission-System/Other","3",null,null
"596","1","596","492","Car-Accessories/Engines-Components","2",null,null
"597","1","597","596","Car-Accessories/Engines-Components/Belts-Pulleys-Brackets-","3",null,null
"598","1","598","596","Car-Accessories/Engines-Components/Block-Parts","3",null,null
"599","1","599","596","Car-Accessories/Engines-Components/Camshafts-Lifters-Parts-","3",null,null
"600","1","600","596","Car-Accessories/Engines-Components/Complete-Engines","3",null,null
"601","1","601","596","Car-Accessories/Engines-Components/Crankshafts-Parts","3",null,null
"602","1","602","596","Car-Accessories/Engines-Components/Cylinder-Heads-Parts","3",null,null
"603","1","603","596","Car-Accessories/Engines-Components/Engine-Bearings","3",null,null
"604","1","604","596","Car-Accessories/Engines-Components/Engine-Rebuilding-Kits","3",null,null
"605","1","605","596","Car-Accessories/Engines-Components/Motor-Mounts","3",null,null
"606","1","606","596","Car-Accessories/Engines-Components/Oil-Filler-Caps","3",null,null
"607","1","607","596","Car-Accessories/Engines-Components/Oil-Pans","3",null,null
"608","1","608","596","Car-Accessories/Engines-Components/Oil-Pumps","3",null,null
"609","1","609","596","Car-Accessories/Engines-Components/Pistons-Rings-Rods-Parts-","3",null,null
"610","1","610","596","Car-Accessories/Engines-Components/Rocker-Arms-Parts","3",null,null
"611","1","611","596","Car-Accessories/Engines-Components/Timing-Components","3",null,null
"612","1","612","596","Car-Accessories/Engines-Components/Vacuum-Pumps","3",null,null
"613","1","613","596","Car-Accessories/Engines-Components/Valve-Covers","3",null,null
"614","1","614","596","Car-Accessories/Engines-Components/Valves-Parts","3",null,null
"615","1","615","596","Car-Accessories/Engines-Components/Other","3",null,null
"616","1","616","492","Car-Accessories/Exhaust","2",null,null
"617","1","617","616","Car-Accessories/Exhaust/Catalytic-Converters","3",null,null
"618","1","618","616","Car-Accessories/Exhaust/Exhaust-Headers","3",null,null
"619","1","619","616","Car-Accessories/Exhaust/Exhaust-Manifolds","3",null,null
"620","1","620","616","Car-Accessories/Exhaust/Exhaust-Pipes-Tips","3",null,null
"621","1","621","616","Car-Accessories/Exhaust/Exhaust-Systems","3",null,null
"622","1","622","616","Car-Accessories/Exhaust/Hangers-Clamps-Flanges-","3",null,null
